,Am,Ba,EE,Ex,Op,Pl,Sr,Za,
OG5_126570,60,0,30,15,26,38,220,0,
OG5_126770,28,38,32,9,13,8,68,0,
OG5_126773,78,211,48,21,36,51,222,3,
OG5_126772,82,110,47,23,36,49,202,8,
OG5_126775,86,293,43,22,31,48,234,46,
OG5_126777,58,507,32,12,27,42,174,92,
OG5_126776,90,514,48,26,39,52,247,92,
OG5_136270,11,0,23,5,5,16,65,0,
OG5_127044,86,0,46,11,27,50,214,0,
OG5_133647,24,0,21,4,11,10,62,0,
OG5_144711,18,0,5,4,1,1,35,0,
OG5_144715,31,1,23,4,1,4,68,0,
OG5_127118,87,0,44,24,39,37,219,0,
OG5_128136,88,0,47,23,30,51,231,1,
OG5_127045,73,506,35,17,31,37,189,59,
OG5_136187,20,0,4,1,4,22,11,0,
OG5_127422,90,5,47,20,33,44,211,7,
OG5_127423,48,488,35,9,21,49,203,0,
OG5_127352,76,0,44,22,41,50,218,90,
OG5_127353,95,0,48,27,40,49,238,0,
OG5_127354,84,0,47,20,28,46,230,0,
OG5_127427,77,0,45,16,28,46,179,0,
OG5_127424,83,0,41,23,33,44,226,32,
OG5_127425,63,0,33,16,23,24,161,0,
OG5_127359,79,40,44,18,33,31,196,0,
OG5_127428,89,0,48,25,42,48,229,1,
OG5_127429,57,66,28,13,29,26,144,93,
OG5_133681,48,0,16,4,9,6,82,0,
OG5_155117,83,1,31,19,15,17,146,9,
OG5_138336,66,3,30,9,9,15,80,0,
OG5_132602,8,0,27,13,13,13,145,0,
OG5_132356,21,0,25,5,10,5,97,0,
OG5_127402,66,0,33,12,32,43,195,0,
OG5_132607,52,0,21,5,5,11,81,0,
OG5_131861,26,0,35,11,13,16,147,0,
OG5_132833,87,0,43,15,31,29,191,0,
OG5_142653,35,43,21,3,5,22,145,0,
OG5_133735,45,230,21,5,3,7,67,2,
OG5_128138,77,0,45,15,30,44,177,0,
OG5_130819,68,0,23,4,10,26,89,0,
OG5_127519,22,0,9,2,3,1,51,0,
OG5_127516,97,10,50,29,48,51,246,1,
OG5_127514,98,0,50,25,44,53,248,1,
OG5_127513,78,0,42,19,27,35,191,90,
OG5_127511,56,0,32,13,29,36,154,1,
OG5_132998,27,0,20,7,8,9,110,0,
OG5_128753,75,0,30,15,23,32,63,0,
OG5_128752,76,0,38,10,25,39,198,24,
OG5_128754,63,0,27,13,29,28,130,0,
OG5_128756,82,0,38,7,21,22,19,0,
OG5_132990,6,0,28,5,7,9,85,0,
OG5_127224,57,126,31,10,27,34,150,12,
OG5_127737,94,0,46,18,36,51,67,0,
OG5_127734,78,0,37,20,34,41,193,81,
OG5_127227,77,70,44,21,34,45,228,83,
OG5_127732,78,0,39,15,30,46,196,0,
OG5_127221,98,5,49,32,53,66,284,66,
OG5_127730,85,0,47,23,37,48,223,0,
OG5_127223,85,141,44,25,36,42,210,5,
OG5_126601,89,154,46,24,36,52,228,22,
OG5_126600,95,115,48,19,39,52,260,0,
OG5_135777,71,41,41,8,14,26,198,0,
OG5_152920,7,0,7,1,0,17,87,0,
OG5_126605,91,0,48,32,51,58,272,0,
OG5_126607,89,5,48,28,31,42,261,3,
OG5_127739,85,0,44,16,31,52,244,2,
OG5_126599,93,197,46,23,38,49,240,0,
OG5_144546,20,8,0,1,2,4,21,1,
OG5_149867,15,0,5,1,0,22,17,0,
OG5_149718,16,140,29,1,0,5,71,7,
OG5_126593,91,418,42,27,47,46,254,79,
OG5_164059,18,1,6,2,2,16,57,9,
OG5_126595,92,1,50,29,53,53,273,5,
OG5_158925,20,37,8,2,2,4,25,10,
OG5_126596,79,364,38,15,33,42,222,21,
OG5_133359,31,0,10,3,6,15,72,0,
OG5_133358,78,1,38,14,14,20,188,1,
OG5_138825,33,103,16,7,6,4,52,9,
OG5_128629,47,8,12,13,15,8,89,0,
OG5_128628,38,15,22,11,20,34,80,0,
OG5_128999,77,0,41,6,28,31,179,0,
OG5_128998,70,0,43,11,24,27,198,0,
OG5_128997,73,0,42,16,17,46,134,0,
OG5_128995,40,1,35,16,20,27,72,0,
OG5_128993,49,0,29,7,24,29,116,0,
OG5_128992,17,213,17,3,16,11,68,5,
OG5_128991,82,15,41,15,30,34,162,1,
OG5_133356,77,11,38,14,13,25,180,0,
OG5_128575,72,12,41,14,25,38,159,1,
OG5_129573,49,137,26,10,14,10,88,12,
OG5_142876,14,0,12,0,1,8,71,0,
OG5_129576,57,122,24,15,9,27,83,13,
OG5_129574,68,0,29,12,17,34,120,0,
OG5_128572,82,0,18,4,16,5,24,0,
OG5_158969,1,7,0,0,0,0,3,0,
OG5_131033,9,0,36,13,9,15,142,0,
OG5_127648,83,0,48,19,32,50,216,0,
OG5_127649,56,5,18,12,21,21,99,0,
OG5_127642,42,0,35,6,21,17,64,0,
OG5_127643,78,0,42,13,26,35,150,0,
OG5_134914,8,0,14,2,6,2,16,0,
OG5_129841,17,0,44,16,12,22,177,0,
OG5_127646,68,0,44,16,27,27,187,0,
OG5_127645,75,93,38,17,20,26,163,34,
OG5_132778,4,0,22,11,5,13,91,0,
OG5_128853,69,0,41,15,24,31,185,0,
OG5_129976,4,164,18,1,15,14,79,70,
OG5_130930,35,0,1,4,9,7,20,0,
OG5_129970,10,0,41,24,17,18,187,0,
OG5_150225,60,1,14,11,4,31,85,0,
OG5_128197,76,0,42,14,28,42,127,0,
OG5_132049,25,0,29,12,9,17,100,0,
OG5_128192,71,37,30,12,16,30,128,1,
OG5_128190,58,4,33,13,13,28,184,0,
OG5_132173,80,0,28,13,14,22,155,3,
OG5_126845,93,0,47,25,41,54,240,46,
OG5_129432,31,34,34,3,16,41,177,5,
OG5_129714,82,0,42,10,24,37,155,0,
OG5_129927,10,0,38,19,15,15,163,0,
OG5_128379,68,0,38,7,21,32,120,0,
OG5_131181,7,0,36,15,12,16,119,0,
OG5_139402,18,0,5,1,4,8,25,0,
OG5_128374,80,0,43,15,31,46,204,0,
OG5_128373,61,0,27,18,28,30,147,0,
OG5_128372,66,28,37,11,23,36,162,0,
OG5_139404,66,107,11,13,2,9,33,1,
OG5_128179,60,0,39,13,26,41,121,0,
OG5_128430,74,0,40,13,27,39,176,0,
OG5_130859,65,0,21,12,21,13,79,0,
OG5_141670,35,0,12,1,3,18,50,0,
OG5_129480,37,0,9,11,21,40,36,0,
OG5_129481,67,0,38,8,26,39,137,0,
OG5_128171,84,0,46,14,28,46,209,0,
OG5_128170,35,303,23,5,19,14,70,14,
OG5_130851,70,1,36,9,12,41,138,0,
OG5_128172,73,1,43,11,29,37,164,0,
OG5_128175,65,0,28,11,27,41,154,0,
OG5_128174,81,0,41,14,27,40,180,0,
OG5_128177,48,0,20,16,29,34,134,1,
OG5_129489,57,0,14,4,11,6,77,0,
OG5_141897,53,0,11,5,4,3,61,0,
OG5_131672,26,0,30,4,10,25,96,0,
OG5_129535,52,0,33,3,21,45,101,0,
OG5_131675,3,368,9,1,1,14,13,11,
OG5_131676,9,0,36,8,13,16,122,0,
OG5_144162,2,0,0,0,2,1,10,0,
OG5_131844,71,10,27,3,24,25,114,1,
OG5_129370,76,105,24,12,14,16,173,13,
OG5_129803,74,0,38,7,26,34,122,0,
OG5_129372,54,0,27,11,20,24,134,0,
OG5_128288,42,0,24,2,22,27,87,0,
OG5_131076,44,0,28,4,10,28,79,0,
OG5_129375,76,0,40,8,27,29,161,0,
OG5_129376,70,105,35,10,19,39,151,0,
OG5_129805,70,0,27,8,22,11,99,0,
OG5_128283,90,2,45,22,32,39,236,0,
OG5_128281,83,0,40,18,25,38,189,0,
OG5_129809,74,0,45,7,24,36,104,0,
OG5_128285,57,0,29,15,25,29,132,0,
OG5_128284,63,114,40,20,24,40,207,0,
OG5_135991,71,0,34,9,8,16,110,0,
OG5_138553,14,6,1,0,8,0,0,16,
OG5_129622,69,0,40,5,28,34,164,0,
OG5_129151,78,2,32,11,13,9,138,2,
OG5_129621,52,0,31,9,22,30,148,0,
OG5_139663,78,8,36,8,11,15,136,0,
OG5_129155,69,0,39,6,30,36,81,0,
OG5_129156,42,408,14,8,10,12,55,65,
OG5_129157,74,3,36,9,28,38,171,0,
OG5_138045,48,0,7,3,14,2,82,0,
OG5_129398,56,0,30,8,28,31,147,0,
OG5_130588,72,0,45,10,12,44,126,0,
OG5_129392,23,0,11,5,16,17,38,0,
OG5_130584,26,369,9,4,8,2,49,53,
OG5_129390,41,121,5,9,11,8,41,46,
OG5_130581,4,0,32,12,9,18,123,0,
OG5_129394,11,17,29,11,14,15,144,0,
OG5_129395,58,0,48,23,19,29,215,0,
OG5_146716,18,0,21,10,1,9,52,0,
OG5_130614,41,0,13,0,17,4,2,0,
OG5_137936,67,11,14,7,5,1,51,0,
OG5_130613,12,1,35,14,13,20,139,0,
OG5_138442,13,3,19,4,4,14,60,0,
OG5_131213,6,0,34,11,7,15,138,0,
OG5_129743,48,79,26,7,16,18,128,0,
OG5_131219,52,0,32,1,21,21,102,0,
OG5_130035,10,0,31,14,12,15,150,0,
OG5_130034,26,207,31,11,18,28,102,2,
OG5_129214,6,330,8,7,3,8,32,11,
OG5_130031,53,0,36,9,23,36,136,0,
OG5_131529,47,0,37,17,4,14,165,0,
OG5_131525,66,0,41,12,16,37,170,0,
OG5_131527,76,12,39,13,11,32,125,0,
OG5_130038,49,0,9,6,21,13,14,0,
OG5_144490,6,0,2,4,0,4,18,0,
OG5_129028,10,507,34,3,4,31,120,1,
OG5_129747,36,0,20,6,17,28,65,0,
OG5_129300,62,86,23,8,16,19,102,7,
OG5_129025,82,0,33,15,31,43,175,2,
OG5_134380,24,2,21,5,7,12,48,0,
OG5_129020,55,0,25,5,21,29,115,0,
OG5_129021,27,0,31,5,16,18,132,0,
OG5_129022,75,0,45,13,25,38,145,0,
OG5_129023,68,0,42,9,13,38,114,0,
OG5_128346,72,0,46,8,28,45,182,57,
OG5_157238,70,2,16,9,7,2,46,5,
OG5_128344,75,249,37,13,20,31,199,9,
OG5_131459,23,0,17,2,11,5,114,0,
OG5_130102,18,0,36,14,13,21,143,1,
OG5_130105,83,9,43,8,21,46,195,0,
OG5_130109,51,0,42,18,12,21,181,0,
OG5_131453,19,5,33,2,8,10,177,0,
OG5_131324,51,0,15,5,18,12,5,0,
OG5_130329,73,10,29,14,22,29,130,0,
OG5_130328,37,0,41,16,11,22,186,0,
OG5_137115,53,0,11,7,6,8,61,0,
OG5_130322,64,48,39,14,11,30,143,31,
OG5_136468,10,56,1,2,3,1,3,22,
OG5_141129,46,1,7,8,8,2,39,3,
OG5_134648,43,0,12,5,6,21,76,0,
OG5_138133,66,36,21,7,8,4,114,0,
OG5_136865,17,198,17,7,6,34,102,11,
OG5_127834,89,0,48,24,36,51,236,20,
OG5_139029,6,0,17,1,0,9,16,0,
OG5_137845,46,0,32,3,14,20,129,0,
OG5_128678,41,0,47,18,27,49,214,0,
OG5_127713,51,7,39,13,26,23,141,75,
OG5_127714,97,6,48,22,43,51,251,1,
OG5_127832,87,0,49,25,41,49,233,11,
OG5_129551,11,0,37,13,14,18,144,0,
OG5_142460,70,4,42,11,6,20,121,0,
OG5_127717,79,0,44,18,28,43,203,0,
OG5_130433,58,3,28,3,17,38,115,0,
OG5_126623,92,191,47,30,53,56,257,2,
OG5_130432,19,0,28,14,13,15,171,0,
OG5_156261,29,180,17,10,7,5,73,0,
OG5_127490,81,13,42,19,34,45,196,94,
OG5_150058,10,0,18,7,5,7,70,0,
OG5_128742,35,0,34,13,21,20,153,0,
OG5_127324,76,68,39,18,30,41,198,84,
OG5_136086,68,0,21,8,2,2,115,0,
OG5_127327,86,405,29,14,31,48,178,86,
OG5_136346,46,1,41,4,19,34,146,0,
OG5_131986,42,0,32,5,15,21,42,0,
OG5_126744,87,528,48,27,41,50,244,63,
OG5_126745,86,488,45,18,34,44,201,94,
OG5_126746,65,341,33,17,30,33,109,37,
OG5_126740,81,0,44,20,35,42,236,0,
OG5_126741,85,1,45,21,34,41,239,1,
OG5_126742,83,98,48,25,37,50,204,25,
OG5_136247,71,0,14,4,3,3,28,0,
OG5_126748,83,14,49,20,37,31,244,0,
OG5_126749,52,0,41,12,7,22,122,0,
OG5_155266,1,16,7,0,0,10,12,4,
OG5_132083,39,16,19,7,8,11,76,0,
OG5_128243,61,0,42,15,28,40,180,0,
OG5_142390,61,0,6,3,2,5,37,0,
OG5_127431,80,0,42,17,28,21,223,0,
OG5_127346,75,0,34,8,22,25,127,0,
OG5_127433,83,27,47,21,38,51,213,94,
OG5_127432,88,0,48,19,33,47,200,2,
OG5_127343,89,147,46,22,40,47,215,75,
OG5_127434,73,3,36,14,29,38,165,2,
OG5_129308,3,45,3,6,2,6,39,1,
OG5_127436,58,352,18,10,22,21,71,0,
OG5_127439,42,0,40,16,29,21,144,0,
OG5_127438,89,1,49,17,40,52,219,0,
OG5_133690,64,17,19,8,9,28,68,0,
OG5_127349,78,9,34,16,28,41,173,93,
OG5_155900,3,13,0,0,5,0,1,10,
OG5_132184,7,0,41,15,12,18,176,0,
OG5_132182,60,171,16,11,12,3,72,24,
OG5_132180,9,0,20,12,10,10,83,0,
OG5_132616,4,0,16,11,2,12,69,0,
OG5_132343,69,0,32,3,11,12,160,0,
OG5_132346,57,55,12,7,9,8,72,0,
OG5_132349,52,0,37,9,23,29,77,0,
OG5_132348,11,0,3,4,12,15,9,0,
OG5_132579,57,223,7,8,6,15,30,1,
OG5_133214,68,15,36,12,15,28,130,0,
OG5_149917,21,0,17,4,1,20,75,0,
OG5_131852,52,0,21,8,14,44,122,0,
OG5_132618,16,1,39,20,12,16,156,0,
OG5_127508,88,10,43,25,30,48,223,14,
OG5_127505,68,376,35,13,19,27,138,54,
OG5_127506,72,0,40,14,22,40,164,0,
OG5_128765,71,0,37,12,24,34,103,0,
OG5_128766,76,0,38,15,15,13,149,0,
OG5_128767,74,0,42,11,24,29,178,1,
OG5_128760,69,0,44,7,29,42,144,0,
OG5_128763,78,14,44,11,33,41,192,1,
OG5_127233,79,412,48,25,43,55,253,93,
OG5_127231,88,2,49,23,35,48,225,95,
OG5_127230,68,0,45,16,33,43,206,0,
OG5_128768,78,0,44,10,29,43,194,0,
OG5_127236,95,0,50,29,44,55,251,0,
OG5_133968,8,0,10,6,11,0,14,0,
OG5_127234,84,335,36,16,26,46,165,53,
OG5_140392,3,0,0,5,0,1,10,0,
OG5_127727,61,0,14,10,16,8,118,0,
OG5_140390,68,0,3,1,1,24,12,0,
OG5_126638,84,288,39,19,30,36,198,48,
OG5_140424,2,1,22,1,3,1,4,0,
OG5_127723,89,0,44,21,33,39,218,0,
OG5_126635,94,60,48,23,35,45,253,0,
OG5_126636,86,518,40,18,34,47,179,11,
OG5_126637,53,525,39,11,30,32,151,94,
OG5_127729,87,0,46,18,30,49,209,1,
OG5_126631,97,54,48,32,56,63,267,87,
OG5_144399,32,0,12,7,11,6,88,0,
OG5_126633,11,190,14,6,10,14,73,0,
OG5_132671,48,0,2,1,8,1,16,0,
OG5_132670,84,0,39,10,16,26,126,0,
OG5_133371,16,0,39,11,8,5,133,0,
OG5_128611,84,0,46,12,35,50,218,0,
OG5_128960,73,0,43,14,12,28,207,0,
OG5_128613,75,0,36,11,30,42,176,0,
OG5_128966,93,0,46,22,39,25,174,0,
OG5_128615,69,0,34,7,31,38,105,0,
OG5_133365,4,2,33,6,0,26,194,0,
OG5_128968,16,0,31,15,10,15,136,0,
OG5_141261,76,55,36,9,22,28,173,9,
OG5_129563,65,0,42,13,18,37,183,0,
OG5_129565,82,2,43,13,29,40,194,0,
OG5_129566,21,302,16,11,2,5,87,19,
OG5_129569,34,411,18,2,13,18,105,0,
OG5_128976,66,0,39,14,26,37,130,0,
OG5_184873,9,0,10,3,0,2,92,0,
OG5_134908,70,0,42,10,13,38,201,0,
OG5_133273,26,0,5,2,18,1,75,0,
OG5_134905,62,0,27,5,6,24,101,0,
OG5_127650,83,0,46,21,33,47,217,0,
OG5_127653,71,0,41,18,29,40,185,53,
OG5_127652,77,0,44,18,29,42,204,0,
OG5_127654,83,0,42,17,31,47,203,0,
OG5_130923,5,303,14,3,1,47,8,88,
OG5_150238,19,0,29,0,1,19,135,0,
OG5_130921,34,0,17,1,10,3,48,0,
OG5_130927,57,0,7,5,23,15,13,0,
OG5_130925,39,26,8,3,18,3,13,0,
OG5_130924,10,0,0,0,8,0,2,0,
OG5_129967,14,0,37,15,14,19,164,0,
OG5_129966,37,0,37,6,10,29,91,0,
OG5_132763,37,148,4,10,4,0,14,0,
OG5_129960,54,0,30,7,14,27,37,0,
OG5_129963,64,0,25,4,26,21,92,0,
OG5_129100,2,435,29,0,13,51,105,76,
OG5_127344,28,109,23,2,25,19,89,8,
OG5_139209,51,0,23,8,15,14,62,0,
OG5_135342,44,0,18,5,10,3,68,0,
OG5_141469,3,0,18,8,0,11,117,0,
OG5_132161,53,0,30,4,21,4,79,0,
OG5_132162,69,0,17,3,11,26,25,0,
OG5_132164,37,0,25,3,9,26,72,0,
OG5_132166,23,0,24,2,19,7,68,0,
OG5_128382,75,0,34,14,23,37,167,0,
OG5_129704,21,65,34,7,10,13,124,0,
OG5_129707,85,0,23,11,8,7,99,0,
OG5_128381,74,0,44,13,24,39,181,0,
OG5_129701,70,0,28,12,18,36,137,4,
OG5_129500,71,0,44,13,25,28,37,0,
OG5_128384,69,49,36,8,29,39,147,1,
OG5_129702,51,0,26,5,17,28,40,0,
OG5_128389,45,474,25,3,12,30,108,2,
OG5_139473,25,0,16,8,1,11,83,0,
OG5_129495,51,132,16,11,7,3,54,2,
OG5_129494,65,0,40,6,21,39,134,0,
OG5_129496,76,1,42,10,29,38,177,0,
OG5_126919,7,2,11,2,9,2,39,0,
OG5_128149,52,158,42,16,32,26,155,3,
OG5_168267,23,3,6,6,1,11,64,0,
OG5_130829,27,3,24,14,12,19,92,5,
OG5_130826,60,0,29,5,12,23,63,0,
OG5_126914,78,11,44,19,26,38,193,1,
OG5_128146,54,381,29,2,11,30,137,60,
OG5_126916,83,491,47,22,37,46,230,0,
OG5_129499,45,0,20,3,22,21,63,0,
OG5_126910,79,31,43,13,33,41,213,0,
OG5_126912,80,0,47,17,33,46,216,90,
OG5_129491,17,0,31,1,23,24,134,0,
OG5_134836,6,0,30,5,8,8,82,0,
OG5_144176,4,0,2,2,2,29,24,0,
OG5_128548,70,0,38,11,24,38,172,0,
OG5_142869,23,0,8,4,6,3,18,0,
OG5_129363,71,0,38,9,27,40,166,0,
OG5_129814,28,2,36,5,13,15,109,0,
OG5_129361,59,0,37,12,18,5,148,0,
OG5_129816,30,2,27,12,15,25,136,1,
OG5_128812,60,117,30,11,23,33,146,2,
OG5_128541,61,0,28,7,26,38,112,0,
OG5_144373,31,0,3,0,4,4,14,0,
OG5_128816,66,0,42,9,27,38,180,0,
OG5_128817,63,0,39,8,11,27,150,0,
OG5_129369,19,0,31,5,23,30,128,0,
OG5_129368,58,0,34,9,24,28,131,0,
OG5_131689,44,0,33,6,13,41,154,0,
OG5_129638,83,70,39,14,19,48,186,1,
OG5_129149,80,0,47,16,32,50,183,0,
OG5_129147,57,80,27,12,13,32,142,17,
OG5_129146,62,0,36,11,25,34,173,0,
OG5_129145,71,0,38,12,21,35,145,0,
OG5_129144,66,0,34,10,22,34,118,0,
OG5_129635,54,0,44,4,22,35,163,0,
OG5_129634,52,0,25,4,21,35,51,0,
OG5_128852,71,11,37,17,20,30,163,0,
OG5_139502,5,1,14,1,1,15,102,0,
OG5_129381,62,0,34,5,25,31,94,0,
OG5_129380,58,0,43,19,21,28,224,0,
OG5_129382,21,0,36,16,13,19,176,0,
OG5_129385,54,0,29,7,21,29,134,0,
OG5_165283,23,85,16,5,7,9,63,4,
OG5_130626,56,0,39,14,10,31,177,0,
OG5_137907,6,170,3,0,0,0,23,8,
OG5_130628,30,105,40,17,17,19,165,1,
OG5_131204,8,0,26,13,8,13,113,0,
OG5_128785,77,34,36,12,23,27,196,0,
OG5_149295,74,1,35,10,2,25,151,0,
OG5_131200,28,83,38,11,14,3,104,2,
OG5_131202,53,48,11,3,7,15,64,5,
OG5_139187,83,0,42,11,12,33,142,0,
OG5_131209,16,0,36,11,9,16,140,0,
OG5_131208,66,0,28,5,12,15,88,0,
OG5_139180,6,0,28,10,2,8,138,0,
OG5_127669,63,238,36,14,22,47,185,35,
OG5_134016,14,0,6,2,6,4,8,0,
OG5_128042,53,1,26,14,23,28,108,0,
OG5_138636,71,7,40,13,9,27,163,0,
OG5_138632,80,0,17,7,20,1,35,0,
OG5_160650,52,0,12,4,1,3,114,0,
OG5_127881,75,0,46,16,27,47,210,0,
OG5_127882,71,0,30,15,26,35,159,0,
OG5_129030,21,17,17,12,8,6,78,6,
OG5_127884,90,0,40,23,41,48,223,6,
OG5_129036,46,2,34,14,17,25,79,1,
OG5_127886,87,0,46,15,27,42,199,0,
OG5_127887,80,436,39,13,23,42,200,58,
OG5_127888,82,3,44,20,29,43,191,0,
OG5_135833,30,14,5,5,1,3,25,0,
OG5_129039,49,0,29,10,26,29,114,0,
OG5_130486,60,0,20,8,8,31,85,0,
OG5_147521,34,2,19,5,0,8,21,0,
OG5_131495,76,0,42,11,13,46,171,0,
OG5_168483,6,1,8,1,1,0,49,0,
OG5_130488,18,120,25,2,9,14,87,17,
OG5_130489,6,0,35,13,13,17,143,0,
OG5_130134,57,0,22,11,8,5,114,0,
OG5_130132,39,0,23,8,16,27,111,0,
OG5_130133,78,236,42,14,15,32,142,41,
OG5_131447,8,0,35,16,8,18,139,0,
OG5_131335,10,0,35,15,16,14,136,0,
OG5_134548,4,0,27,6,8,16,94,0,
OG5_132792,80,1,41,16,17,21,170,0,
OG5_130318,40,70,33,3,13,4,62,5,
OG5_130319,58,0,37,6,23,31,108,0,
OG5_127191,96,6,50,27,38,52,240,94,
OG5_139206,9,0,0,0,5,2,17,0,
OG5_130315,6,0,29,16,13,15,122,0,
OG5_130316,38,0,14,1,23,7,37,0,
OG5_130317,12,204,24,3,7,36,44,15,
OG5_130310,27,0,44,21,11,19,160,0,
OG5_128890,74,1,39,8,24,40,178,0,
OG5_130312,15,0,43,14,14,22,181,0,
OG5_129953,91,80,47,20,29,45,235,2,
OG5_146151,9,0,13,3,0,6,90,0,
OG5_128897,56,0,33,9,19,46,98,0,
OG5_132795,47,0,13,7,14,15,42,0,
OG5_130669,15,6,43,18,19,22,187,1,
OG5_151256,49,23,29,2,2,34,95,0,
OG5_130558,52,1,27,14,0,43,47,0,
OG5_136502,5,167,1,0,0,0,9,0,
OG5_130002,46,0,41,8,15,31,118,0,
OG5_130556,71,0,21,7,9,25,95,0,
OG5_130005,32,0,29,5,8,25,100,0,
OG5_130555,37,0,15,3,17,22,21,0,
OG5_133005,19,0,20,5,14,18,26,0,
OG5_133905,35,0,12,3,4,12,81,0,
OG5_133025,51,0,18,5,7,24,53,0,
OG5_133021,24,5,12,6,10,2,86,0,
OG5_126778,52,232,24,7,17,19,109,28,
OG5_126852,95,0,50,29,49,57,256,91,
OG5_142714,15,3,4,1,2,0,19,0,
OG5_128072,37,395,27,4,16,42,102,83,
OG5_143355,94,0,32,24,33,35,206,0,
OG5_127869,81,0,43,19,30,45,209,0,
OG5_128074,82,0,44,20,29,40,189,0,
OG5_127860,75,0,35,6,15,25,89,0,
OG5_127861,74,5,35,13,30,42,188,10,
OG5_127866,75,0,37,14,31,39,185,0,
OG5_127867,4,515,4,0,19,17,25,0,
OG5_136091,5,153,2,1,3,0,31,80,
OG5_126759,71,337,42,17,28,42,170,54,
OG5_126758,61,383,42,14,35,48,196,17,
OG5_131999,53,1,31,9,9,20,94,1,
OG5_146932,36,3,3,4,3,2,19,0,
OG5_126753,77,87,44,26,23,49,161,1,
OG5_126750,87,474,44,23,34,51,181,67,
OG5_131991,68,0,27,7,14,18,70,0,
OG5_126756,67,296,45,21,36,47,200,35,
OG5_126755,70,516,46,18,34,41,186,78,
OG5_126754,86,31,43,19,31,25,214,4,
OG5_163900,39,37,2,6,0,0,8,0,
OG5_133111,7,203,14,0,15,4,107,2,
OG5_133110,11,431,4,1,0,4,28,0,
OG5_137305,51,4,16,5,11,3,58,0,
OG5_132157,71,0,19,9,20,3,101,0,
OG5_163473,11,17,3,1,6,0,20,0,
OG5_128289,87,89,43,21,25,49,235,12,
OG5_139990,29,47,23,3,7,19,105,0,
OG5_136656,42,0,14,4,5,3,82,0,
OG5_128679,71,0,41,15,30,26,163,0,
OG5_133683,72,0,25,6,5,10,93,0,
OG5_127405,65,46,35,14,25,31,143,88,
OG5_127406,72,1,30,11,25,28,125,0,
OG5_127400,61,240,43,14,32,53,230,29,
OG5_133685,61,0,5,9,11,2,9,0,
OG5_127403,98,0,24,18,35,8,126,0,
OG5_133688,25,0,28,5,7,14,95,0,
OG5_172112,42,15,15,6,0,7,74,0,
OG5_159140,4,113,3,0,2,1,9,6,
OG5_131842,55,0,39,4,14,26,80,0,
OG5_180324,69,0,24,6,21,13,150,9,
OG5_132370,11,0,37,10,12,13,134,0,
OG5_133758,61,0,18,9,14,14,65,0,
OG5_132373,69,0,14,8,8,9,32,0,
OG5_131848,27,0,29,5,9,5,73,0,
OG5_133704,48,21,40,10,8,19,125,1,
OG5_127530,75,7,38,6,22,30,112,0,
OG5_128250,82,0,42,15,27,38,176,0,
OG5_127532,49,472,33,13,27,36,120,78,
OG5_127533,63,228,22,15,27,8,91,50,
OG5_127534,78,86,37,17,27,37,185,91,
