,Am,Ba,EE,Ex,Op,Pl,Sr,sr,Za,
OG5_128992,11,213,10,3,16,9,32,0,5,
OG5_128991,71,15,36,15,30,30,129,0,1,
OG5_133356,49,11,16,14,13,19,134,0,0,
OG5_128575,30,12,21,12,25,24,90,0,1,
OG5_129573,27,137,14,9,14,7,47,0,12,
OG5_142876,9,0,4,0,1,5,38,0,0,
OG5_129576,30,122,12,14,9,19,50,0,13,
OG5_128572,76,0,12,4,16,3,10,0,0,
OG5_127648,67,0,39,19,32,49,186,0,0,
OG5_127642,29,0,22,6,21,15,40,0,0,
OG5_134914,5,0,11,1,6,0,9,0,0,
OG5_127646,42,0,33,16,27,18,149,0,0,
OG5_128853,53,0,32,15,24,23,145,0,0,
OG5_132774,73,2,22,13,16,2,62,0,0,
OG5_128197,67,0,36,14,28,39,100,0,0,
OG5_129714,69,0,38,9,24,32,114,0,0,
OG5_129710,25,8,9,2,18,2,17,0,0,
OG5_131181,4,0,21,13,12,11,82,0,0,
OG5_139402,11,0,2,1,4,5,17,0,0,
OG5_128374,68,0,35,14,31,41,154,0,0,
OG5_128373,30,0,11,17,28,23,96,0,0,
OG5_129719,49,2,13,11,26,21,67,0,0,
OG5_128179,31,0,11,11,26,33,72,0,0,
OG5_128178,33,0,11,13,24,23,94,0,0,
OG5_126907,85,0,48,26,39,51,238,0,81,
OG5_130851,43,1,27,8,12,32,104,0,0,
OG5_126900,90,0,48,25,50,61,228,0,93,
OG5_126901,80,0,40,22,40,46,218,0,0,
OG5_131672,13,0,15,2,10,17,43,0,0,
OG5_144162,1,0,0,0,2,1,7,0,0,
OG5_129370,57,105,19,11,14,10,130,0,13,
OG5_129803,47,0,21,7,26,27,80,0,0,
OG5_129372,26,0,11,11,20,16,79,0,0,
OG5_128288,28,0,19,2,22,25,56,0,0,
OG5_131077,2,0,21,12,16,13,73,0,0,
OG5_129805,49,0,15,8,22,10,75,0,0,
OG5_128283,55,2,29,21,32,28,178,0,0,
OG5_128281,65,0,33,17,25,32,144,0,0,
OG5_128280,40,0,19,10,23,31,78,0,0,
OG5_127181,66,217,36,18,27,45,183,0,60,
OG5_131693,33,0,11,3,14,13,95,0,0,
OG5_139664,35,11,33,5,7,30,98,0,0,
OG5_129156,27,408,9,5,10,8,35,0,65,
OG5_138045,33,0,6,3,14,2,64,0,0,
OG5_130588,55,0,38,9,12,42,92,0,0,
OG5_129392,8,0,3,3,16,12,25,0,0,
OG5_129390,26,121,5,9,11,7,27,0,46,
OG5_129395,26,0,44,22,19,28,182,0,0,
OG5_138442,8,3,10,3,4,11,39,0,0,
OG5_129743,22,79,13,5,16,13,70,0,0,
OG5_130034,17,207,22,11,18,21,84,0,2,
OG5_130036,38,53,15,14,10,28,103,0,0,
OG5_131529,41,0,32,17,4,11,126,0,0,
OG5_131527,43,12,20,13,11,25,77,0,0,
OG5_129025,70,0,26,15,31,42,143,0,2,
OG5_129022,66,0,42,13,25,37,131,0,0,
OG5_157238,44,2,8,7,7,2,21,0,5,
OG5_128344,60,249,18,12,20,20,153,0,9,
OG5_131459,17,0,11,2,11,4,72,0,0,
OG5_130105,53,9,35,8,21,38,138,0,0,
OG5_130109,34,0,34,18,12,15,140,0,0,
OG5_131453,9,5,18,2,8,4,150,0,0,
OG5_131324,19,0,6,5,18,10,3,0,0,
OG5_137115,24,0,7,7,6,5,32,0,0,
OG5_141129,25,1,3,7,8,0,21,0,3,
OG5_138133,30,36,11,6,8,1,52,0,0,
OG5_136865,11,198,11,6,6,33,76,0,11,
OG5_128225,31,0,20,16,28,21,77,0,0,
OG5_137845,23,0,23,2,14,19,117,0,0,
OG5_145077,24,44,11,10,4,4,76,0,0,
OG5_142460,50,4,35,10,6,16,88,0,0,
OG5_127241,24,379,23,6,14,16,110,0,3,
OG5_127088,52,0,22,12,25,27,67,0,0,
OG5_156261,9,180,9,9,7,3,39,0,0,
OG5_127490,67,13,36,18,34,40,166,0,94,
OG5_150058,6,0,11,6,5,6,39,0,0,
OG5_136086,40,0,12,6,2,0,70,0,0,
OG5_126744,75,528,40,26,41,45,215,0,63,
OG5_126740,72,0,37,17,35,38,214,0,0,
OG5_126741,58,1,43,20,34,38,210,0,1,
OG5_126742,59,98,41,23,37,43,152,0,25,
OG5_126749,40,0,33,12,7,18,89,0,0,
OG5_127346,44,0,21,7,22,19,71,0,0,
OG5_127433,74,27,44,21,38,49,199,0,94,
OG5_127432,74,0,44,18,33,45,173,0,2,
OG5_127343,80,147,45,21,40,44,205,0,75,
OG5_127434,40,3,12,14,29,31,100,0,2,
OG5_127438,84,1,46,17,40,52,205,0,0,
OG5_155900,2,13,0,0,5,0,1,0,10,
OG5_132184,4,0,29,15,12,12,143,0,0,
OG5_132182,38,171,14,11,12,1,46,0,24,
OG5_132616,4,0,9,11,2,7,40,0,0,
OG5_132349,29,0,30,9,23,26,55,0,0,
OG5_132348,7,0,3,4,12,12,8,0,0,
OG5_149843,37,0,4,3,9,9,6,0,0,
OG5_133214,45,15,18,10,15,22,67,0,0,
OG5_132618,7,1,28,20,12,14,124,0,0,
OG5_127508,75,10,37,23,30,46,196,0,14,
OG5_127506,50,0,28,14,22,33,123,0,0,
OG5_128765,37,0,16,10,24,25,56,0,0,
OG5_127239,21,133,16,12,24,18,62,0,29,
OG5_128767,44,0,30,11,24,22,135,0,1,
OG5_128760,44,0,29,6,29,39,108,0,0,
OG5_128763,65,14,36,9,33,35,164,0,1,
OG5_127233,72,412,44,25,43,54,233,0,93,
OG5_127231,71,2,40,23,35,45,195,0,95,
OG5_127230,38,0,33,15,33,37,176,0,0,
OG5_127237,80,98,32,27,40,47,184,0,93,
OG5_127236,90,0,49,28,44,53,236,0,0,
OG5_127727,42,0,12,9,16,7,88,0,0,
OG5_140390,50,0,1,1,1,18,8,0,0,
OG5_140424,2,1,16,0,3,0,3,0,0,
OG5_127723,75,0,34,21,33,35,175,0,0,
OG5_126635,88,60,44,22,35,40,226,0,0,
OG5_127729,70,0,42,18,30,44,170,0,1,
OG5_126631,86,54,46,31,56,58,236,0,87,
OG5_132907,8,0,7,4,8,6,49,0,0,
OG5_128611,73,0,44,12,35,50,195,0,0,
OG5_128966,86,0,38,21,39,18,140,0,0,
OG5_128968,8,0,15,11,10,9,73,0,0,
OG5_141261,61,55,25,9,22,22,132,0,9,
OG5_129563,42,0,27,13,18,34,147,0,0,
OG5_140097,47,6,27,6,12,17,85,0,0,
OG5_184873,9,0,10,3,0,2,89,0,0,
OG5_134905,48,0,17,3,6,19,71,0,0,
OG5_127650,67,0,42,21,33,45,187,0,0,
OG5_127654,72,0,38,17,31,47,179,0,0,
OG5_130923,4,303,8,3,1,47,4,0,88,
OG5_150238,17,0,24,0,1,18,96,0,0,
OG5_129969,6,0,30,19,16,14,139,0,0,
OG5_130924,5,0,0,0,8,0,0,0,0,
OG5_135342,29,0,9,4,10,2,48,0,0,
OG5_132162,66,0,13,3,11,25,21,0,0,
OG5_129106,50,0,29,9,16,40,76,0,0,
OG5_128382,53,0,20,14,23,29,99,0,0,
OG5_131194,37,0,25,2,9,4,51,0,0,
OG5_129707,78,0,15,11,8,5,74,0,0,
OG5_128381,45,0,32,12,24,29,122,0,0,
OG5_129495,32,132,6,9,7,0,32,0,2,
OG5_129496,64,1,39,10,29,34,138,0,0,
OG5_129491,6,0,12,1,23,15,89,0,0,
OG5_126918,80,0,45,26,42,55,215,0,88,
OG5_168267,12,3,4,6,1,7,46,0,0,
OG5_126916,69,491,42,21,37,42,194,0,0,
OG5_135545,59,0,22,5,16,12,117,0,0,
OG5_126912,58,0,38,15,33,45,161,0,90,
OG5_144176,2,0,2,2,2,25,15,0,0,
OG5_142869,16,0,5,4,6,2,15,0,0,
OG5_129814,20,2,30,4,13,11,89,0,0,
OG5_129361,37,0,27,11,18,4,108,0,0,
OG5_129360,23,0,7,8,20,19,40,0,0,
OG5_128541,30,0,9,6,26,27,74,0,0,
OG5_144373,13,0,2,0,4,4,10,0,0,
OG5_129638,62,70,21,13,19,40,134,0,1,
OG5_129149,73,0,43,16,32,47,161,0,0,
OG5_129147,23,80,10,11,13,21,79,0,17,
OG5_129145,52,0,35,11,21,34,123,0,0,
OG5_129635,30,0,28,4,22,31,108,0,0,
OG5_130626,22,0,21,14,10,23,137,0,0,
OG5_137907,1,170,0,0,0,0,1,0,8,
OG5_128785,50,34,18,11,23,24,121,0,0,
OG5_149295,64,1,33,9,2,21,136,0,0,
OG5_131202,40,48,10,3,7,13,44,0,5,
OG5_131209,7,0,22,10,9,8,92,0,0,
OG5_131208,51,0,25,4,12,12,54,0,0,
OG5_139180,4,0,22,10,2,7,104,0,0,
OG5_134016,6,0,2,2,6,4,4,0,0,
OG5_138636,61,7,30,11,9,23,134,0,0,
OG5_138632,56,0,13,7,20,1,23,0,0,
OG5_160650,32,0,8,4,1,2,62,0,0,
OG5_127884,82,0,38,22,41,46,206,0,6,
OG5_129036,40,2,25,13,17,22,50,0,1,
OG5_127886,71,0,37,14,27,36,162,0,0,
OG5_127887,60,436,33,13,23,39,163,0,58,
OG5_127888,66,3,37,19,29,37,142,0,0,
OG5_127889,74,0,45,19,41,50,201,0,0,
OG5_130486,39,0,14,6,8,27,61,0,0,
OG5_131495,61,0,36,11,13,40,145,0,0,
OG5_130488,12,120,17,2,9,9,56,0,17,
OG5_130134,34,0,12,10,8,3,94,0,0,
OG5_130133,49,236,22,14,15,27,83,0,41,
OG5_131447,4,0,23,15,8,13,96,0,0,
OG5_130318,20,70,25,2,13,2,39,0,5,
OG5_130319,24,0,16,6,23,25,51,0,0,
OG5_130315,4,0,19,15,13,12,79,0,0,
OG5_144956,43,0,11,5,10,14,54,0,2,
OG5_130558,42,1,21,14,0,41,35,0,0,
OG5_130002,33,0,33,8,15,27,81,0,0,
OG5_130557,45,0,36,15,19,45,141,0,0,
OG5_133021,15,5,11,6,10,2,71,0,0,
OG5_143355,80,0,27,23,33,31,157,0,0,
OG5_126853,41,444,36,12,28,51,177,0,18,
OG5_127861,59,5,16,12,30,34,147,0,10,
OG5_127867,1,515,2,0,19,13,4,0,0,
OG5_146935,6,0,3,1,5,0,24,0,0,
OG5_126758,32,383,41,14,35,39,161,0,17,
OG5_146932,19,3,2,3,3,2,16,0,0,
OG5_136099,29,0,14,7,13,1,29,0,0,
OG5_126750,76,474,39,23,34,48,150,0,67,
OG5_126756,42,296,38,21,36,45,179,0,35,
OG5_126755,47,516,34,18,34,37,160,0,78,
OG5_133110,3,431,1,0,0,1,4,0,0,
OG5_133114,22,109,11,9,7,4,60,0,2,
OG5_128770,53,0,28,13,27,42,155,0,0,
OG5_139990,15,47,14,3,7,15,75,0,0,
OG5_133683,52,0,15,6,5,6,65,0,0,
OG5_127406,59,1,17,10,25,21,89,0,0,
OG5_133685,52,0,4,9,11,1,3,0,0,
OG5_127403,97,0,23,17,35,6,101,0,0,
OG5_130122,47,0,21,11,14,36,100,0,0,
OG5_172112,15,15,6,3,0,4,26,0,0,
OG5_180324,41,0,10,6,21,8,119,0,9,
OG5_132370,5,0,33,8,12,9,102,0,0,
OG5_132373,49,0,7,7,8,7,24,0,0,
OG5_127530,45,7,23,6,22,25,67,0,0,
OG5_127532,37,472,27,11,27,33,83,0,78,
OG5_127537,69,0,32,18,25,33,138,0,0,
OG5_127539,55,0,38,17,34,38,166,0,0,
OG5_127718,78,1,46,22,37,52,201,0,0,
OG5_127719,30,0,22,13,10,17,62,0,0,
OG5_132970,6,0,25,11,11,11,87,0,0,
OG5_127248,59,0,29,12,34,32,153,0,0,
OG5_127712,34,0,11,6,20,0,36,0,0,
OG5_127245,40,177,25,13,22,17,122,0,2,
OG5_127714,88,6,46,22,43,50,220,0,1,
OG5_127716,58,0,18,8,33,39,162,0,0,
OG5_127717,58,0,40,17,28,37,156,0,0,
OG5_126623,87,191,45,30,53,54,234,0,2,
OG5_127089,90,0,48,29,47,59,232,0,92,
OG5_126620,64,487,37,25,35,39,181,0,88,
OG5_126624,70,386,43,17,33,37,192,0,49,
OG5_127080,89,0,48,27,43,56,229,0,94,
OG5_127081,57,0,38,20,31,39,163,0,0,
OG5_127082,10,507,6,12,5,18,54,0,90,
OG5_126628,80,482,46,27,48,59,238,0,18,
OG5_132083,24,16,11,6,8,8,49,0,0,
OG5_132579,26,223,4,6,6,7,15,0,1,
OG5_144569,67,0,13,1,5,7,19,0,0,
OG5_128606,53,0,35,5,23,35,95,0,0,
OG5_128605,47,0,29,5,29,38,147,0,0,
OG5_128604,80,5,29,19,30,26,130,0,0,
OG5_128602,82,0,29,13,34,4,67,0,0,
OG5_128976,40,0,19,13,26,31,84,0,0,
OG5_126925,58,1,35,16,28,30,132,0,0,
OG5_129554,7,0,36,19,11,14,143,0,0,
OG5_129551,5,0,22,12,14,12,97,0,0,
OG5_140676,1,3,1,1,4,2,1,0,12,
OG5_132883,3,0,19,4,8,8,37,0,0,
OG5_127665,68,2,30,22,33,42,169,0,0,
OG5_127666,79,0,44,19,33,42,182,0,3,
OG5_130956,41,0,25,12,7,25,132,0,0,
OG5_130957,6,0,30,17,14,15,108,0,0,
OG5_129953,73,80,44,19,29,38,199,0,2,
OG5_127356,73,3,34,16,32,41,189,0,22,
OG5_132795,29,0,6,7,14,8,17,0,0,
OG5_126847,64,409,41,15,26,53,165,0,61,
OG5_127390,62,0,20,19,34,23,131,0,0,
OG5_127391,57,0,45,15,24,40,177,0,0,
OG5_127392,82,0,26,16,38,21,147,0,0,
OG5_132403,15,8,13,2,5,9,50,0,0,
OG5_128778,84,0,41,15,34,16,131,0,0,
OG5_132157,58,0,13,9,20,3,67,0,0,
OG5_128774,52,0,27,9,27,36,131,0,0,
OG5_128391,90,0,33,9,40,10,81,0,0,
OG5_128397,65,0,33,9,24,38,170,0,0,
OG5_128399,12,0,8,6,25,11,33,0,0,
OG5_128398,76,2,40,24,33,49,175,0,2,
OG5_126922,92,0,49,26,41,58,230,0,88,
OG5_126923,66,191,25,28,50,34,159,0,91,
OG5_130839,6,298,17,3,16,15,58,0,46,
OG5_128156,69,0,40,14,28,45,158,0,5,
OG5_128155,45,0,39,10,28,31,137,0,0,
OG5_130835,35,1,27,14,15,19,128,0,0,
OG5_134805,58,7,44,13,18,37,139,0,2,
OG5_131563,13,0,4,4,11,6,40,0,1,
OG5_146489,10,0,2,5,0,10,17,0,0,
OG5_129827,35,0,6,4,11,31,19,0,0,
OG5_131053,57,0,14,6,17,5,122,0,0,
OG5_128556,72,3,35,7,24,38,110,0,0,
OG5_139267,35,51,16,11,1,11,95,0,0,
OG5_128552,52,25,29,15,16,20,102,0,0,
OG5_128551,65,0,39,18,28,40,156,0,0,
OG5_128550,1,0,4,3,2,0,34,0,0,
OG5_129607,4,0,35,15,16,26,181,0,0,
OG5_147606,2,0,7,6,3,6,52,0,0,
OG5_139040,77,0,25,8,25,35,134,0,0,
OG5_131234,41,0,18,1,18,17,63,0,0,
OG5_129739,60,0,5,2,16,4,42,0,0,
OG5_131544,33,0,16,7,7,0,35,0,0,
OG5_131540,7,107,21,2,6,14,46,0,11,
OG5_127897,11,201,30,3,16,22,101,0,0,
OG5_127896,42,0,32,12,27,25,158,0,44,
OG5_129044,25,27,7,8,20,23,34,0,15,
OG5_145769,8,0,3,6,1,4,19,0,0,
OG5_130493,15,0,10,2,11,4,29,0,0,
OG5_138480,68,0,14,7,33,16,85,0,0,
OG5_127898,82,25,44,23,39,43,210,0,8,
OG5_130123,51,0,24,5,18,20,110,0,0,
OG5_128805,53,0,39,14,29,43,176,0,1,
OG5_130121,58,0,30,9,10,19,119,0,2,
OG5_134482,50,12,33,7,21,19,120,0,0,
OG5_131305,38,0,18,16,15,5,94,0,0,
OG5_130304,59,0,42,15,26,38,83,0,0,
OG5_134464,4,0,19,6,9,9,63,0,0,
OG5_130015,25,0,4,4,19,21,39,0,0,
OG5_136315,42,23,25,16,7,16,69,0,21,
OG5_141916,33,0,9,7,7,2,89,0,0,
OG5_136795,76,29,41,19,39,42,208,0,6,
OG5_127878,78,0,41,18,25,50,181,0,0,
OG5_127875,42,0,17,10,27,22,82,0,0,
OG5_127877,34,57,10,3,25,21,54,0,3,
OG5_126729,39,197,37,14,25,37,181,0,15,
OG5_126727,74,229,45,22,36,53,215,0,1,
OG5_126724,80,17,43,22,38,37,228,0,5,
OG5_126722,87,513,46,29,51,58,239,0,91,
OG5_126721,71,515,38,14,25,48,175,0,0,
OG5_137311,24,12,3,1,13,1,12,0,0,
OG5_130280,22,81,9,4,12,3,46,0,11,
OG5_127637,27,0,18,13,28,27,9,0,0,
OG5_132589,22,0,9,2,14,0,40,0,0,
OG5_140247,5,0,3,1,1,0,21,0,0,
OG5_127632,53,0,30,17,35,31,152,0,0,
OG5_127736,48,18,24,12,23,33,121,0,0,
OG5_131835,26,0,12,9,14,4,35,0,0,
OG5_131833,18,0,7,2,15,9,46,0,0,
OG5_127737,89,0,45,18,36,50,32,0,0,
OG5_127735,79,0,46,21,23,53,213,0,0,
OG5_127522,61,0,19,9,26,24,155,0,0,
OG5_127521,79,0,33,21,33,32,148,0,0,
OG5_147189,7,0,3,4,0,3,16,0,0,
OG5_127529,47,1,27,13,29,30,138,0,0,
OG5_127221,98,5,48,32,53,65,270,0,66,
OG5_127256,73,4,35,15,34,42,191,0,5,
OG5_127251,67,0,32,13,29,40,165,0,0,
OG5_127250,82,6,46,24,35,53,202,0,92,
OG5_127700,75,0,46,19,41,51,204,0,0,
OG5_144578,1,0,2,3,2,3,2,0,0,
OG5_155258,25,0,8,5,1,17,11,0,0,
OG5_127096,67,0,40,21,37,39,165,0,94,
OG5_127094,39,195,20,13,26,17,135,0,3,
OG5_126658,6,201,1,2,28,4,24,0,53,
OG5_126659,85,458,46,25,46,55,224,0,88,
OG5_131943,37,0,6,0,29,1,16,0,0,
OG5_131946,9,0,3,1,12,0,6,0,0,
OG5_128945,31,0,10,6,23,33,71,0,0,
OG5_128947,48,0,35,8,27,11,87,0,0,
OG5_128940,42,0,19,5,20,33,108,0,0,
OG5_128941,74,0,43,11,30,45,162,0,0,
OG5_127412,66,410,44,20,28,39,172,0,48,
OG5_127411,76,0,32,16,35,41,167,0,87,
OG5_127410,87,122,44,21,22,41,150,0,0,
OG5_127417,49,198,17,13,31,22,116,0,1,
OG5_128010,35,0,17,13,22,23,114,0,0,
OG5_134927,49,0,19,6,7,8,50,0,0,
OG5_127672,47,40,24,15,25,39,116,0,35,
OG5_127671,68,233,28,18,28,39,157,0,2,
OG5_127677,62,25,30,16,28,40,154,0,0,
OG5_127674,34,0,29,11,29,30,106,0,0,
OG5_132899,41,0,14,8,4,3,74,0,0,
OG5_129946,50,0,13,10,23,4,43,0,0,
OG5_127380,22,20,21,15,32,27,79,0,50,
OG5_127387,79,0,45,25,31,41,191,0,0,
OG5_128496,49,2,41,19,23,30,187,0,0,
OG5_128497,71,10,35,6,13,33,99,0,1,
OG5_128494,43,0,21,17,24,24,126,0,0,
OG5_128493,51,0,31,16,25,32,117,0,0,
OG5_132415,35,0,19,6,9,11,27,0,0,
OG5_132419,34,0,21,4,6,19,37,0,0,
OG5_128707,86,0,36,16,32,15,138,0,0,
OG5_128705,88,0,41,22,32,23,155,0,1,
OG5_139454,8,0,8,0,4,1,41,0,0,
OG5_126937,34,425,26,9,26,40,107,0,80,
OG5_128127,38,0,32,13,30,37,149,0,0,
OG5_126935,56,376,15,15,20,30,90,0,60,
OG5_126934,53,417,39,16,34,39,175,0,0,
OG5_128122,24,0,38,18,18,22,190,0,1,
OG5_126932,53,490,32,18,34,43,154,0,91,
OG5_126931,91,0,48,28,44,58,235,0,93,
OG5_128121,52,0,35,8,20,34,147,0,42,
OG5_134815,54,5,41,10,7,28,141,0,0,
OG5_126938,87,0,48,28,48,57,230,0,0,
OG5_158446,19,0,11,5,12,23,82,0,0,
OG5_143026,15,0,2,2,1,0,16,0,0,
OG5_129548,8,3,39,21,16,20,149,0,0,
OG5_128838,48,0,23,8,27,27,126,0,0,
OG5_135037,46,3,27,6,10,8,114,0,0,
OG5_158938,8,57,5,4,1,0,2,0,0,
OG5_129541,43,0,27,4,29,30,86,0,0,
OG5_129540,40,0,29,8,22,25,136,0,0,
OG5_149329,63,13,35,10,8,20,129,0,1,
OG5_129614,54,40,21,3,27,19,98,0,0,
OG5_128239,50,0,37,12,29,36,176,0,0,
OG5_128232,72,5,40,22,37,47,183,0,0,
OG5_135252,32,0,19,4,6,5,94,0,0,
OG5_133357,26,0,9,3,1,30,62,0,0,
OG5_141528,24,1,2,2,4,12,12,0,1,
OG5_129720,53,76,36,13,28,34,158,0,2,
OG5_178671,19,1,17,5,4,9,26,0,0,
OG5_127956,24,237,22,8,23,17,74,0,19,
OG5_129051,11,302,16,12,24,39,17,0,34,
OG5_139143,44,0,15,1,1,9,57,0,0,
OG5_130153,43,0,14,6,15,20,104,0,0,
OG5_130150,4,0,28,14,11,7,100,0,0,
OG5_130799,4,200,2,0,0,10,9,0,32,
OG5_131311,53,1,41,18,19,15,134,0,0,
OG5_131310,47,105,25,14,29,19,92,0,3,
OG5_130792,40,76,9,7,12,12,37,0,24,
OG5_130795,67,17,39,14,16,19,150,0,1,
OG5_134498,27,0,2,6,5,3,18,0,1,
OG5_130375,72,0,38,16,20,33,43,0,0,
OG5_134678,2,0,1,0,6,0,5,0,0,
OG5_134671,61,0,15,6,7,2,53,0,0,
OG5_177080,17,114,1,2,1,0,9,0,1,
OG5_145628,5,0,5,0,0,1,33,0,0,
OG5_130578,46,0,12,5,24,4,44,0,0,
OG5_137077,13,0,7,1,2,2,18,0,0,
OG5_130572,29,0,8,1,20,17,110,0,0,
OG5_152206,8,0,8,4,0,3,51,0,0,
OG5_136785,41,0,15,14,17,14,111,0,0,
OG5_127848,83,1,44,23,34,43,190,0,22,
OG5_136418,50,14,35,7,14,35,109,0,1,
OG5_136415,40,5,29,8,7,13,87,0,1,
OG5_127845,45,0,12,8,25,10,41,0,0,
OG5_127843,74,0,41,14,29,42,145,0,0,
OG5_126734,87,501,48,30,41,57,225,0,10,
OG5_126737,81,68,45,27,38,54,216,0,0,
OG5_130645,50,0,10,1,19,1,12,0,0,
OG5_126731,60,445,43,22,32,42,207,0,67,
OG5_126730,68,495,30,24,30,26,172,0,88,
OG5_126732,71,0,40,14,26,40,131,0,0,
OG5_147062,10,61,6,2,1,0,2,0,11,
OG5_127689,47,0,37,16,35,37,146,0,0,
OG5_146827,69,10,43,13,28,34,164,0,5,
OG5_132314,26,0,7,2,10,10,34,0,0,
OG5_132312,18,0,17,3,13,16,8,0,0,
OG5_131820,4,0,0,2,7,0,23,0,0,
OG5_133573,21,0,15,16,9,28,108,0,0,
OG5_128600,57,13,30,11,22,30,132,0,5,
OG5_133576,34,14,31,5,18,22,78,0,0,
OG5_129854,27,0,17,8,24,23,108,0,0,
OG5_127261,91,0,49,27,44,52,229,0,0,
OG5_127262,84,0,48,26,44,59,240,0,0,
OG5_127265,69,92,26,16,34,42,130,0,2,
OG5_132953,10,0,4,5,6,8,2,0,0,
OG5_127269,72,0,41,24,40,55,194,0,19,
OG5_132959,45,0,10,9,14,10,27,0,0,
OG5_126645,65,43,27,24,28,31,168,0,5,
OG5_127063,84,0,36,24,30,37,176,0,0,
OG5_127061,83,128,46,25,37,53,222,0,93,
OG5_126641,88,514,49,29,53,58,251,0,93,
OG5_127064,91,1,49,30,46,57,232,0,91,
OG5_127065,21,420,20,5,12,10,87,0,14,
OG5_144504,30,1,13,3,10,5,67,0,0,
OG5_126649,55,0,40,19,38,43,183,0,0,
OG5_126648,46,318,28,6,23,44,163,0,54,
OG5_132550,4,0,15,6,11,1,41,0,0,
OG5_132555,58,0,10,12,19,9,69,0,0,
OG5_142761,8,0,2,0,2,2,23,0,0,
OG5_128951,37,0,26,15,27,32,149,0,0,
OG5_128950,47,0,30,12,29,29,133,0,0,
OG5_128954,24,0,7,4,20,39,25,0,0,
OG5_127469,47,0,38,19,27,43,185,0,0,
OG5_127467,42,269,21,13,19,31,109,0,91,
OG5_127464,71,0,33,17,34,42,178,0,54,
OG5_147081,11,0,20,4,2,4,56,0,0,
OG5_128002,59,5,44,19,34,42,184,0,18,
OG5_128004,65,2,29,16,33,35,178,0,2,
